location;metric;Other unintentional injuries;Self-harm;Interpersonal violence;Exposure to forces of nature;Environmental heat and cold exposure;Ebola;Neonatal disorders;Protein-energy malnutrition;Other nutritional deficiencies;Sexually transmitted infections excluding HIV;Acute hepatitis;Other unspecified infectious diseases;Esophageal cancer;Stomach cancer;Liver cancer;Inflammatory bowel disease;Vascular intestinal disorders;Gallbladder and biliary diseases;Pancreatitis;Other digestive diseases;Alzheimer's disease and other dementias;Meningitis;Encephalitis;Diphtheria;Whooping cough;Tetanus;Measles;Varicella and herpes zoster;Malaria;Chagas disease;Leishmaniasis;African trypanosomiasis;Schistosomiasis;Cysticercosis;Cystic echinococcosis;Dengue;Yellow fever;Hypertensive heart disease;Cardiomyopathy and myocarditis;Atrial fibrillation and flutter;Aortic aneurysm;Peripheral artery disease;Endocarditis;Non-rheumatic valvular heart disease;Chronic obstructive pulmonary disease;Pneumoconiosis;Asthma;Interstitial lung disease and pulmonary sarcoidosis;Other chronic respiratory diseases;Cirrhosis and other chronic liver diseases;Road injuries;Other transport injuries;Other skin and subcutaneous diseases;Sudden infant death syndrome;Falls;Drowning;Fire, heat, and hot substances;Poisonings;Parkinson's disease;Idiopathic epilepsy;Multiple sclerosis;Motor neuron disease;Other neurological disorders;Alcohol use disorders;Drug use disorders;Eating disorders;Diabetes mellitus;Tuberculosis;HIV/AIDS;Lip and oral cavity cancer;Nasopharynx cancer;Other pharynx cancer;Gallbladder and biliary tract cancer;Pancreatic cancer;Malignant skin melanoma;Non-melanoma skin cancer;Ovarian cancer;Testicular cancer;Kidney cancer;Bladder cancer;Hemoglobinopathies and hemolytic anemias;Endocrine, metabolic, blood, and immune disorders;Rheumatoid arthritis;Other musculoskeletal disorders;Congenital birth defects;Upper respiratory infections;Otitis media;Executions and police conflict;Other neglected tropical diseases;Maternal disorders;Exposure to mechanical forces;Adverse effects of medical treatment;Gynecological diseases;Appendicitis;Brain and central nervous system cancer;Thyroid cancer;Mesothelioma;Hodgkin lymphoma;Non-Hodgkin lymphoma;Multiple myeloma;Leukemia;Other neoplasms;Rheumatic heart disease;Other malignant neoplasms;Other cardiovascular and circulatory diseases;Diarrheal diseases;Bacterial skin diseases;Upper digestive system diseases;Foreign body;Conflict and terrorism;Typhoid and paratyphoid;Invasive Non-typhoidal Salmonella (iNTS);Rabies;Intestinal nematode infections;Other intestinal infectious diseases;Lower respiratory infections;Acute glomerulonephritis;Chronic kidney disease;Urinary diseases and male infertility;Ischemic heart disease;Zika virus;Paralytic ileus and intestinal obstruction;Larynx cancer;Animal contact;Tracheal, bronchus, and lung cancer;Breast cancer;Cervical cancer;Uterine cancer;Prostate cancer;Colon and rectum cancer;Decubitus ulcer;Stroke;Inguinal, femoral, and abdominal hernia
Vanuatu;Number;7.752571578;51.14914967;3.439153128;0;1.317787219;0;68.79601779;11.8111362;0.207764766;17.48608048;2.693931213;3.069453984;4.357042904;25.88498335;16.44460697;1.51778711;1.114411011;6.626419516;3.436445142;2.978629628;19.25296299;6.139319034;0.913704439;0.185356608;13.28692795;0.110197019;5.09458206;1.024591761;1.335498274;0;0;0;0;0;0.014109723;0.195271849;0;47.62709023;7.530292484;4.7272898;5.016450312;0.272458729;3.021136456;1.933632371;113.6966981;0.275771495;45.37227505;4.758234667;7.892169972;49.43094078;66.65547792;6.042057434;0.011376723;0.810453091;12.96181749;32.2601124;3.935477246;1.98232131;12.71866092;4.866033548;0.257850781;0.193117782;1.56867162;3.698836505;1.356469892;0.000679953;126.9651699;41.21048147;19.03132939;3.433057651;2.831919034;0.624517748;1.784260856;5.120864796;0.991337683;1.216885613;2.608847267;0.156259511;1.349273379;3.093765882;1.142052106;7.191582437;0.265062265;1.65081574;22.27423057;0.03350186;0.003623947;0.031296161;0.284303355;7.862554885;6.196148617;5.612657916;0.172477502;1.316658793;4.516284164;1.373852932;0.677210285;0.737023608;4.330382298;1.86380115;10.56364409;0.730135677;33.52157864;9.933426539;11.64245141;67.86597528;5.694614584;19.38859809;4.944739103;0;2.432567801;0.879395709;0.030459635;0.084782271;0.060934531;113.2089106;0.070717915;69.86935691;6.187116223;460.1357631;0;4.569035684;1.670564688;1.663763474;43.05347937;24.0022376;15.55538798;4.264349178;17.59191555;14.69051514;0.825834504;293.2708503;1.633528351
Vanuatu;Percent;0.003459215;0.022829674;0.001533053;0;0.000589506;0;0.030832792;0.005292892;9.30E-05;0.007855769;0.001201421;0.001369741;0.00194783;0.01156317;0.00734991;0.000678305;0.000498553;0.002962435;0.00153448;0.001333154;0.008613307;0.002748041;0.00040857;8.29E-05;0.005967159;4.92E-05;0.002287801;0.000459124;0.000597423;0;0;0;0;0;6.30E-06;8.70E-05;0;0.021298844;0.003365909;0.002118494;0.002243249;0.000122021;0.001348641;0.00086422;0.050885887;0.000123548;0.020293774;0.002126291;0.003525048;0.022068041;0.029740621;0.002696328;5.10E-06;0.000362813;0.005797258;0.014413078;0.001757606;0.000886324;0.005698038;0.002171573;0.000115003;8.62E-05;0.000700976;0.001650407;0.000604919;3.02E-07;0.056726991;0.018412957;0.008640764;0.001534058;0.001263521;0.000278842;0.000797267;0.002288928;0.000442972;0.000544397;0.001163063;6.98E-05;0.000602818;0.001383162;0.000510529;0.003210921;0.000118484;0.000736822;0.009985643;1.50E-05;1.62E-06;1.40E-05;0.000127221;0.003494248;0.002768368;0.002505496;7.69E-05;0.000587352;0.002018698;0.000614117;0.000302314;0.000328894;0.001933989;0.000833868;0.004722416;0.000326738;0.014945484;0.004439382;0.005204131;0.030396689;0.002543592;0.008677922;0.002211445;0;0.001088526;0.000393826;1.36E-05;3.79E-05;2.73E-05;0.050618056;3.15E-05;0.031203701;0.002765128;0.205674094;0;0.002047857;0.000747286;0.000742372;0.019266365;0.0107028;0.006925563;0.001903558;0.007886187;0.006565644;0.000370054;0.131152596;0.000731897
Armenia;Number;55.20545076;287.1783842;152.6519422;0;47.33044429;0;155.6859391;1.475537897;2.379531352;3.040962329;1.928203855;4.197893679;67.49048549;533.7293483;289.4463386;10.81626402;145.2708029;81.41340544;31.20442422;21.63905925;872.9524828;5.038944138;14.92761042;0.004751255;0.053363537;0.144877756;0.004737054;0.059140886;0;0;1.884784018;0;0;0;0.220303544;0;0;659.2386792;152.9681956;162.4772171;356.4604492;11.76605708;9.203262289;17.90898493;1196.962433;1.638167713;17.96606034;103.5122987;2.944789795;1114.184523;239.9210494;11.10560125;0.64460267;1.206060924;95.54649524;43.77533966;45.28168614;18.36771503;168.6300713;17.94357014;8.603894201;1.891256739;16.34873262;68.98703185;10.13052379;0.071008342;1234.636438;72.80981276;19.07608212;47.29535716;8.339901051;15.68386602;54.22418574;437.7453692;21.41589182;36.97595964;120.9318245;7.631237936;108.6940559;215.4842022;6.87825035;33.59479136;7.771706575;8.782135392;155.5939817;0.769609468;0.059694761;0.332791857;0.06694853;8.044160429;30.84838581;16.09076459;4.083464801;6.679681243;220.3584231;25.46884611;27.90697373;8.033956435;67.06847887;28.84224653;157.4867025;6.509215272;112.3505777;211.043843;102.3899698;13.06067943;8.482168219;222.7892729;85.20237502;0;0.945739569;0.057085503;0.364895501;0.030048686;0.158693347;546.1095858;0.063660274;448.9295266;530.6737687;9255.389248;0;46.54144493;107.0319671;4.511134538;1333.755645;558.181486;158.0220351;89.29092815;284.8103105;585.1226533;0.698709579;2666.979432;39.79733778
Armenia;Percent;0.001973336;0.010258023;0.005452146;0;0.001690443;0;0.005589102;5.27E-05;8.50E-05;0.000108634;6.89E-05;0.000150344;0.002410586;0.01906659;0.010338816;0.000386443;0.005193678;0.002908748;0.00111498;0.000773837;0.031272726;0.000180032;0.000533832;1.70E-07;1.91E-06;5.18E-06;1.69E-07;2.12E-06;0;0;6.75E-05;0;0;0;7.88E-06;0;0;0.023567752;0.005468015;0.005810978;0.01273626;0.000420698;0.000328815;0.000640179;0.042795926;5.86E-05;0.000642063;0.003705931;0.000105214;0.039805396;0.008570706;0.000396721;2.30E-05;4.33E-05;0.003414939;0.001565176;0.001618612;0.000656022;0.006028842;0.000640954;0.000307344;6.75E-05;0.000584103;0.00246405;0.000361873;2.53E-06;0.044108517;0.002599845;0.000685084;0.001689062;0.000297796;0.000559954;0.001937073;0.015636767;0.000764794;0.001321862;0.004317408;0.000272604;0.003883394;0.00769952;0.000245879;0.001200349;0.00027774;0.000313782;0.005580259;2.76E-05;2.13E-06;1.19E-05;2.40E-06;0.000286918;0.001102621;0.000575169;0.000145826;0.000238649;0.007870808;0.0009099;0.000996598;0.000286917;0.002395208;0.00102985;0.005625151;0.000232503;0.004013465;0.00753952;0.003659322;0.000468013;0.000303057;0.007963906;0.003046065;0;3.38E-05;2.04E-06;1.30E-05;1.08E-06;5.68E-06;0.019536296;2.28E-06;0.016044532;0.018968426;0.330842248;0;0.001665194;0.003821385;0.000161255;0.047631873;0.019932101;0.00564251;0.003188905;0.010179731;0.02090452;2.50E-05;0.095325194;0.001422481
Azerbaijan;Number;105.3186127;379.3480658;372.3953867;0;129.3520208;0;1825.455964;17.68559965;10.92031224;24.31336639;23.95039179;10.73313791;795.6801911;1878.299822;364.7897138;13.03619158;46.16056894;62.2097078;64.91349374;307.7022012;940.7037593;61.80993779;147.7415065;0.482328493;84.87149091;1.220281203;0.584984734;7.845562861;0;0;4.678054025;0;0;0;0.713050132;0;0;1938.393047;1453.807817;226.1259594;64.5457124;4.615861204;18.7645223;26.45737821;1512.04162;1.353295076;364.2216592;84.20723983;44.11494558;3117.971585;803.1259703;26.82246212;0.457113203;7.822528927;267.8756899;311.7709613;412.695555;84.9656733;338.2181759;204.7888151;11.82462184;5.675002102;50.13872099;224.733465;38.58912491;0.219254179;2149.836347;635.9790602;37.10613393;93.06191675;18.10949006;38.50112467;98.22421325;629.5692849;40.42097016;50.54975338;200.6345204;15.06648211;354.5543316;218.2453197;84.6479828;153.5390047;6.17147789;10.97423974;525.7580246;15.47808884;0.01340405;1.026723961;0.086179882;32.31292523;73.07213101;23.55325117;9.480371477;11.82063046;466.7802407;41.37149148;11.01444166;63.84134812;166.2396867;55.97006666;435.0518797;17.34956597;181.0654625;377.9449788;292.1479842;113.6697373;10.47137905;219.5472908;125.0190794;0;0.156792663;2.195697933;6.323253564;0.148975313;0.656935448;2454.132156;3.838199352;1385.901195;319.8086853;27208.68389;0;85.44749435;237.7803633;5.267721208;2296.144006;992.9150702;333.5045306;153.1570442;405.2753426;1062.589424;0.7988574;10723.10592;16.42427603
Azerbaijan;Percent;0.001401131;0.005045699;0.004955922;0;0.001721059;0;0.024282476;0.00023527;0.000145221;0.000323521;0.000318511;0.000142839;0.010581294;0.024997709;0.004852456;0.000173411;0.000614279;0.000828092;0.000863461;0.00409318;0.012523051;0.000822138;0.001964315;6.41E-06;0.001126212;1.62E-05;7.77E-06;0.00010443;0;0;6.19E-05;0;0;0;9.49E-06;0;0;0.025817434;0.019340774;0.003013247;0.000858972;6.15E-05;0.000249774;0.000352107;0.020129678;1.80E-05;0.004848052;0.001121389;0.000586458;0.0414916;0.010681255;0.000356754;6.09E-06;0.000103943;0.003562927;0.004145833;0.005492695;0.001130077;0.004507647;0.002723988;0.000157309;7.55E-05;0.000667005;0.00298858;0.000513306;2.92E-06;0.028613255;0.008458397;0.000495761;0.001237925;0.000240898;0.00051205;0.001307933;0.008377601;0.00053788;0.000672765;0.002672444;0.000200508;0.004714565;0.002903613;0.001125188;0.002042709;8.22E-05;0.000146159;0.006991797;0.000205786;1.78E-07;1.37E-05;1.15E-06;0.000430109;0.000971824;0.000313477;0.000126613;0.000157236;0.006207745;0.000550541;0.000146611;0.000849404;0.002211984;0.000744701;0.005787411;0.000230928;0.00240992;0.005029688;0.003888504;0.001510107;0.000139364;0.002919692;0.001663023;0;2.09E-06;2.92E-05;8.41E-05;1.98E-06;8.74E-06;0.032639304;5.11E-05;0.018446479;0.004256764;0.362270113;0;0.001136766;0.003163186;7.01E-05;0.03052767;0.013223736;0.004439563;0.002039626;0.005391726;0.014139397;1.06E-05;0.142783687;0.000218473
Czechia;Number;91.07844653;1479.498082;105.3962695;0;135.0576985;0;129.6967431;119.0556492;15.36908409;4.698557813;3.465048388;28.57858499;618.5519387;1289.396023;632.4106115;113.6036605;277.3930548;416.439768;393.9014309;333.9489789;5120.75541;38.46122806;21.95609575;0.008969531;0.069901841;0.111531484;0.008989757;2.288424333;0;0;0;0;0;0.048699892;0.600459648;0;0;1570.194014;699.2572699;940.3367927;613.2010302;456.6396189;112.8278318;840.4408511;3651.385592;52.1846564;116.7766908;220.4063504;21.57116313;2319.709304;757.6665883;143.0152122;2.988008338;10.86059885;1981.393821;153.8056563;72.28891147;71.65839557;1005.258015;171.5807997;100.4750988;90.57102961;128.3136884;444.5920119;135.8524503;0.460156085;3441.383968;54.73055423;18.86028572;413.2580506;39.08739588;293.5702628;850.5040611;2529.598047;420.0776185;168.8814812;824.5727505;39.06680446;1371.273617;977.0309167;24.04472872;285.581123;32.48186751;76.58027253;102.7041689;10.03010287;1.840089355;1.066972151;0.483775109;2.9372379;91.27036257;213.1848158;0.863399535;28.6566091;769.8508151;89.97264769;50.42406578;64.88046086;686.9222783;493.1032944;1040.46868;245.6063711;292.2386312;944.1896786;1280.00649;292.8748352;75.80513965;524.974075;200.5675388;0;5.622950183;2.468323893;0.01897988;0;0.416899973;3386.006194;2.810624426;1316.73673;614.3993348;32959.57808;0;363.545373;267.2719981;9.802596133;6238.203888;1904.153175;443.7519969;445.283237;1888.907981;4677.622421;49.83571991;11529.74994;73.54209895
Czechia;Percent;0.000799444;0.012985245;0.00092469;0;0.001185272;0;0.001135391;0.001046545;0.000135008;4.13E-05;3.04E-05;0.000250851;0.005428183;0.011321912;0.005551803;0.0009981;0.002437309;0.003661389;0.003458167;0.002934105;0.045093162;0.00033748;0.000192688;7.87E-08;6.13E-07;9.80E-07;7.89E-08;2.01E-05;0;0;0;0;0;4.27E-07;5.27E-06;0;0;0.013804141;0.006140588;0.008268966;0.005386176;0.004006015;0.000990515;0.007388038;0.03207767;0.000458444;0.001025399;0.001937113;0.000189339;0.020351441;0.006651111;0.001255284;2.63E-05;9.52E-05;0.017417424;0.001349707;0.000634929;0.00062905;0.008837584;0.001505827;0.000881759;0.00079478;0.001126017;0.003898548;0.001192635;4.03E-06;0.030244516;0.000480597;0.000166916;0.003627099;0.000342921;0.002575035;0.007468912;0.022208873;0.003688778;0.00148499;0.007238538;0.000342962;0.012038796;0.008581779;0.000211204;0.002508529;0.000285228;0.000672372;0.00090054;8.81E-05;1.62E-05;9.36E-06;4.25E-06;2.57E-05;0.000801138;0.001872603;7.58E-06;0.000251741;0.006757775;0.000790102;0.000442635;0.000569611;0.006033206;0.00432876;0.009141381;0.002158141;0.00256788;0.008291822;0.011244094;0.00257516;0.000666493;0.004612036;0.001760189;0;4.94E-05;2.17E-05;1.67E-07;0;3.67E-06;0.0297645;2.47E-05;0.011573171;0.005399499;0.289752566;0;0.003196042;0.00234527;8.60E-05;0.054759869;0.016724507;0.003895555;0.003911104;0.016591491;0.04107578;0.000438173;0.101356183;0.000646177
Hungary;Number;40.49604798;1902.0736;144.1531669;0;207.2327867;0;135.488267;15.57777777;18.02113363;12.76787346;3.068269238;38.25346997;642.9076435;1674.900738;511.9619536;100.4418169;575.4236138;407.3477763;378.5212309;316.1121096;4849.688892;50.4820274;15.88112427;0.007415657;0.046889411;1.687750009;0.014772402;2.106254145;0;0;0;0;0;0.080653768;0.885684637;0;0;5790.399742;2153.914964;897.5197999;562.2588775;1010.691251;163.4936649;1156.361446;5574.938911;35.57765256;109.6821012;174.5418642;40.78919747;3510.537334;802.8169915;96.54900217;9.200224119;10.92581117;2016.371003;131.4902725;129.0643939;46.80318951;926.7440467;112.8288609;89.46645586;95.05029839;110.0006788;540.6377088;62.98776313;0.495261907;2497.109729;61.33850783;37.25450841;775.4513134;87.38069752;575.9346829;691.069575;2331.247535;392.00834;213.4618606;785.5294971;46.53297242;925.2858708;1055.238426;45.63621574;327.2996597;59.02138247;180.6696868;204.1713974;5.851187039;1.28362676;1.023911732;1.328387022;9.57014558;71.40377881;100.9160136;5.867401402;39.65792405;676.9370163;99.22548041;39.0980112;42.63503744;607.2537911;339.0946519;946.7833111;259.3496177;269.5828802;825.801244;792.0428736;268.2166211;88.07465557;708.8216934;244.2857356;0;0.134013368;1.761699615;0.066778883;0;0.503846872;1216.554943;6.913050786;1821.467827;491.3350443;35930.55574;0;262.4600921;487.5028488;18.58655488;8972.123451;2207.388744;481.2741253;387.484555;1565.727091;5646.021575;21.20686791;13091.20718;114.067235
Hungary;Percent;0.000313893;0.01474604;0.001117348;0;0.001606225;0;0.001046337;0.000120911;0.000139913;9.90E-05;2.38E-05;0.000296463;0.004982931;0.012992105;0.003969584;0.000778862;0.004464287;0.003161196;0.002934313;0.002451897;0.037717278;0.000391374;0.00012305;5.75E-08;3.62E-07;1.31E-05;1.15E-07;1.64E-05;0;0;0;0;0;6.25E-07;6.87E-06;0;0;0.044963843;0.01670966;0.006971694;0.004361855;0.007828032;0.001268287;0.008977525;0.043262093;0.000276063;0.000850733;0.001354196;0.000316167;0.027203002;0.006223797;0.000749954;7.14E-05;8.45E-05;0.015653408;0.00101908;0.001000816;0.000362814;0.007196033;0.000874559;0.000693393;0.000736644;0.000852874;0.00418726;0.000488493;3.83E-06;0.019374544;0.000475859;0.000291066;0.006010219;0.000677182;0.004461733;0.005360604;0.018080444;0.00303963;0.001657486;0.006090981;0.000360835;0.007174877;0.008187299;0.000353927;0.002537835;0.000457678;0.0014011;0.001580795;4.54E-05;9.94E-06;7.94E-06;1.03E-05;7.40E-05;0.000553491;0.000782755;4.55E-05;0.000307648;0.005248057;0.000769619;0.000303093;0.000330433;0.004709728;0.002629402;0.00734432;0.002012605;0.002092882;0.006403895;0.006145461;0.0020824;0.000683711;0.005499983;0.00189338;0;1.04E-06;1.37E-05;5.18E-07;0;3.91E-06;0.009444177;5.36E-05;0.014142944;0.003812734;0.278940096;0;0.002036925;0.003778264;0.000144121;0.06955288;0.017117078;0.003730494;0.003005379;0.012147924;0.043794903;0.000164665;0.101612931;0.000885287
China;Number;18656.67574;121216.6387;11970.21026;294.7811072;4965.715323;0;44949.64537;13098.53401;3763.990165;2353.774735;3725.945885;3596.919625;257315.758;421539.1724;187699.5774;4675.973691;6412.807711;16017.30165;10663.5817;9750.720151;320714.9723;6464.543539;3352.460197;12.19477609;660.8012121;533.6071463;686.3679971;552.1735686;0;0;0;0;427.596576;28.00995385;71.10105002;13.1090054;0;320089.5929;26933.1455;51747.81787;17038.44293;2209.322633;4162.601264;5320.337569;1037475.27;10200.79798;24750.21897;8180.77772;4665.546896;152261.8797;250024.776;8433.550778;414.5066149;864.6741902;144450.3467;56523.95194;11095.91165;27083.99044;76990.3935;11730.18718;1803.542465;2878.083326;6518.724799;19458.788;11445.48126;40.80835795;172891.8639;36566.01974;31746.07737;22641.74936;28659.47168;5590.391074;34462.56972;117374.0328;5161.56242;15483.43474;29092.06306;1205.226667;23954.23827;40094.24094;8468.258023;18598.14132;10833.52091;9307.550062;38049.49697;2801.304231;16.23579275;899.4337821;563.9338101;1537.312184;28523.23617;4875.507399;802.8604252;1565.577175;63527.02796;7239.148695;2773.035186;2708.635006;44309.8265;13421.42334;60380.73616;4656.478913;69781.69882;71697.79751;23808.28342;5440.497907;2291.262869;58691.68528;15009.71514;0.037309079;701.5764969;471.6267659;719.0738372;37.25756673;69.58839587;185264.3332;6985.282493;196726.2407;13056.83419;1874006.904;0;15476.84689;20254.65604;2400.266904;757171.2531;96306.31078;53441.4001;12222.75872;54390.87509;261776.6066;2686.991206;2189175.012;1625.606369
China;Percent;0.001749111;0.01137171;0.001122991;2.78E-05;0.000466274;0;0.004237497;0.001230896;0.000353739;0.000221491;0.000349534;0.000337938;0.024131284;0.039538534;0.017602497;0.000439071;0.00060206;0.001504313;0.001000366;0.000915311;0.030137977;0.000607342;0.000315087;1.15E-06;6.23E-05;5.01E-05;6.46E-05;5.19E-05;0;0;0;0;4.01E-05;2.63E-06;6.67E-06;1.23E-06;0;0.0300664;0.002527822;0.004862508;0.001598642;0.000207384;0.000390687;0.000499232;0.09741793;0.000956489;0.002323479;0.000767583;0.000437813;0.014280344;0.023452745;0.000790941;3.89E-05;8.15E-05;0.013564757;0.005308012;0.001041727;0.00254091;0.00722894;0.001100624;0.000169145;0.000269976;0.000611669;0.001823706;0.00107335;3.83E-06;0.016227514;0.003430528;0.002993326;0.00212344;0.00268699;0.000524075;0.00323428;0.011011341;0.000484431;0.001453298;0.002732917;0.000113024;0.002246794;0.003761671;0.000794907;0.001746524;0.001017442;0.00087398;0.003583584;0.000263296;1.52E-06;8.43E-05;5.29E-05;0.000144247;0.002675547;0.000457707;7.54E-05;0.00014696;0.005959018;0.000679436;0.000260134;0.000254073;0.004156137;0.001259445;0.005666148;0.000437085;0.006551453;0.006727602;0.002235409;0.000511327;0.000215114;0.005508509;0.001410986;3.52E-09;6.59E-05;4.43E-05;6.75E-05;3.50E-06;6.54E-06;0.017406243;0.000655755;0.01846497;0.001225541;0.175941982;0;0.001453649;0.001899337;0.000225174;0.071020599;0.009043838;0.005018294;0.0011481;0.005102948;0.024561424;0.000252374;0.205484995;0.000152632
Croatia;Number;12.64909751;694.2328115;47.23082857;0;20.85326977;0;62.44891035;0.731952242;2.509740663;0.536813649;1.223077408;9.31424997;219.8293071;845.3512993;310.470107;33.09903052;227.3769811;133.0494164;143.4954914;80.9046157;2165.518439;16.5574586;10.74645388;0.003295347;0.033794128;1.457324825;0.00392967;0.271357069;0;0;0.294918472;0;0;0.027474988;0.363214703;0;0;1741.150318;704.5414415;318.9506111;344.2001744;218.934572;20.34898974;371.9803336;1780.033293;11.15959456;55.1732149;26.84807042;4.416786946;1150.733616;372.1153667;60.50985309;2.189688216;4.420618537;1268.038782;76.5875179;37.59937243;17.77600881;491.5267544;87.49678714;39.16253271;43.0552975;50.24621409;267.5511083;69.57290698;0.187127666;1133.733445;53.3865204;7.513158806;179.8979392;17.50384214;151.3380377;253.608293;813.2377902;202.4480292;105.337435;318.0410612;15.81341247;395.8804882;476.5552215;10.20754088;47.63941519;39.71646161;54.16798444;70.47453364;0.182266541;0.15870976;0.441088563;0.085240819;1.599917776;39.35735156;55.1594592;1.988416895;11.01565114;522.1897179;39.35253774;67.34491479;19.53159016;319.2358299;200.91464;407.9490748;159.8252056;102.7954005;347.3520651;143.2490748;28.8800396;9.56526577;234.2984967;45.86078833;0;0.012950285;0.135303085;0.039908638;0;0.203394825;579.5418253;0.289560227;923.0198919;409.8504967;13197.44106;0;166.5840715;192.7973023;5.202513883;2875.171358;1000.621521;164.0006748;179.9828281;913.859458;2308.465578;1.623299917;7557.596846;53.00795417
Croatia;Percent;0.000241514;0.013246796;0.000901173;0;0.000397928;0;0.001187708;1.40E-05;4.80E-05;1.03E-05;2.33E-05;0.000177787;0.004194159;0.016149934;0.005927322;0.00063224;0.004346307;0.002545331;0.002740591;0.001546046;0.041503488;0.000316068;0.00020518;6.29E-08;6.45E-07;2.78E-05;7.50E-08;5.20E-06;0;0;5.68E-06;0;0;5.24E-07;6.94E-06;0;0;0.033325397;0.013478079;0.006103141;0.006574186;0.004185452;0.000388629;0.007114787;0.034047016;0.000213239;0.001055336;0.000512779;8.44E-05;0.021952913;0.007102352;0.001154371;4.18E-05;8.42E-05;0.024264415;0.00146128;0.000718398;0.000339481;0.00940319;0.001669732;0.000747084;0.000821317;0.000958842;0.005100858;0.001329098;3.56E-06;0.02167238;0.001019404;0.000145012;0.003432193;0.000333847;0.002884666;0.004845387;0.015534748;0.003864399;0.002016314;0.006072568;0.000301949;0.0075596;0.009111583;0.000195029;0.000909254;0.000759072;0.001033913;0.001343119;3.48E-06;3.03E-06;8.41E-06;1.63E-06;3.04E-05;0.000751;0.001053438;3.80E-05;0.000210532;0.009972878;0.000751622;0.001285033;0.000372874;0.006097339;0.003836171;0.007793167;0.003056279;0.001964535;0.006633584;0.002736944;0.000552461;0.000182987;0.004478618;0.000874934;0;2.48E-07;2.59E-06;7.66E-07;0;3.89E-06;0.011085838;5.53E-06;0.017649021;0.007842856;0.25241584;0;0.003186676;0.003678537;9.93E-05;0.054868667;0.019112853;0.003130469;0.003438773;0.017464328;0.044096999;3.11E-05;0.144511028;0.001013474
Taiwan (Province of China);Number;174.8666806;4298.754052;342.9155206;0;25.41398373;0;333.8124479;116.0383945;10.15324208;13.03651856;9.872286841;124.839351;3085.542769;4247.688171;2851.687864;199.1378821;576.0537037;923.3137657;342.9657803;671.2724737;8754.974521;105.4227679;75.44164537;0.01926624;0.11723297;0.70564101;0.040910225;14.16235809;0;0;0;0;0;0.314752359;0.258357569;11.27957596;0;4299.720631;647.6978025;1399.082931;1098.747556;40.66946836;626.2659337;521.4073927;8523.180083;232.2912063;825.2404856;287.1427397;101.0602146;7287.141385;3904.630646;146.6507633;72.15743515;29.93728891;2237.035683;507.6760596;143.5506332;78.39225627;2049.671553;315.2342085;37.431314;150.9720913;143.1461358;414.9125991;518.1561388;0.044255151;11323.68548;905.2422309;171.0778448;2238.809852;918.6049194;927.5992641;990.7499339;3386.901111;180.9473226;188.3990558;773.8372094;26.08328573;1245.820192;1523.196871;134.6775619;688.4525985;126.7576135;368.7825272;312.8793222;22.15152229;1.417773841;3.977770636;3.323760686;19.16180446;168.7397195;228.7884315;7.320507217;46.99071307;657.6217022;216.7894198;63.79443489;31.14152069;1498.923383;475.7093208;1290.239654;210.4810688;246.2478594;1535.507159;586.4321455;130.7533742;729.068035;891.3485468;383.0901232;0;5.0628517;70.51989874;0.045140418;0.497077339;0.801359542;13067.29797;3.301274021;8247.736727;2917.99003;16672.30063;0;716.3387034;275.5879684;11.3956036;12052.82132;2332.783366;1032.691817;343.3507226;1964.085436;10385.50911;410.3501284;14922.78039;101.0350687
Taiwan (Province of China);Percent;0.000942541;0.023151995;0.001846742;0;0.000136966;0;0.001805304;0.000626729;5.49E-05;7.03E-05;5.32E-05;0.000673228;0.016607017;0.022904982;0.015369143;0.00107599;0.003110337;0.004988945;0.001849526;0.003621354;0.047235991;0.000568318;0.000406851;1.04E-07;6.34E-07;3.78E-06;2.21E-07;7.64E-05;0;0;0;0;0;1.69E-06;1.39E-06;6.08E-05;0;0.023209113;0.003493232;0.007562147;0.00592555;0.000219815;0.003383323;0.002816528;0.046059453;0.001253233;0.004454455;0.001548566;0.000544466;0.039266126;0.021037592;0.000790178;0.000388848;0.000161893;0.012063828;0.002735177;0.000773968;0.000422409;0.011067913;0.001699517;0.00020139;0.000812894;0.000771561;0.00223215;0.00279163;2.38E-07;0.06107919;0.004887725;0.000933331;0.012050246;0.004943914;0.004991273;0.005341989;0.018252552;0.000975335;0.001017051;0.004168701;0.000140655;0.006715425;0.008217147;0.0007263;0.003711069;0.000684242;0.001989414;0.001689897;0.000119921;7.65E-06;2.14E-05;1.79E-05;0.000102984;0.000909101;0.001234852;3.95E-05;0.000253699;0.003543272;0.001168798;0.000344031;0.000167905;0.008079405;0.002565171;0.006955335;0.001134881;0.001328358;0.00827957;0.00316564;0.000705825;0.003935674;0.004812255;0.002066098;0;2.73E-05;0.000380234;2.44E-07;2.68E-06;4.32E-06;0.07059059;1.78E-05;0.044519725;0.015769562;0.090001156;0;0.003868933;0.001484664;6.14E-05;0.064970476;0.012562232;0.005562992;0.001849891;0.010604271;0.056000409;0.002219004;0.080548963;0.000545804
